#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
asleep-start-date-time,asleep-end-date-time,minutes-asleep
2017-01-09T00:29:00-05:00,2017-01-09T01:45:00-05:00,76
2017-01-09T02:00:00-05:00,2017-01-09T02:50:00-05:00,50
2017-01-09T02:56:00-05:00,2017-01-09T03:27:00-05:00,31
2017-01-09T06:28:00-05:00,2017-01-09T06:48:00-05:00,20
2017-01-09T22:24:00-05:00,2017-01-09T23:47:00-05:00,83
2017-01-10T02:46:00-05:00,2017-01-10T03:17:00-05:00,31
2017-01-10T03:26:00-05:00,2017-01-10T05:02:00-05:00,96
2017-01-11T00:49:00-05:00,2017-01-11T01:59:00-05:00,70
2017-01-11T02:15:00-05:00,2017-01-11T03:12:00-05:00,57
2017-01-11T04:14:00-05:00,2017-01-11T05:28:00-05:00,74
2017-01-11T23:40:00-05:00,2017-01-12T00:42:00-05:00,62
2017-01-12T01:30:00-05:00,2017-01-12T03:45:00-05:00,135
2017-01-12T04:03:00-05:00,2017-01-12T05:17:00-05:00,74
2017-01-12T06:43:00-05:00,2017-01-12T07:45:00-05:00,62
2017-01-12T23:46:00-05:00,2017-01-13T00:15:00-05:00,29
2017-01-13T00:30:00-05:00,2017-01-13T02:32:00-05:00,122
2017-01-13T02:45:00-05:00,2017-01-13T04:05:00-05:00,80
2017-01-13T21:00:00-05:00,2017-01-14T05:45:00-05:00,525
2017-01-14T08:45:00-05:00,2017-01-14T09:15:00-05:00,30
2017-01-15T00:52:00-05:00,2017-01-15T01:19:00-05:00,27
2017-01-15T01:33:00-05:00,2017-01-15T07:14:00-05:00,341
2017-01-15T22:00:00-05:00,2017-01-16T07:14:00-05:00,554
2017-01-16T22:02:00-05:00,2017-01-17T07:44:00-05:00,582
2017-01-18T00:29:00-05:00,2017-01-18T07:26:00-05:00,417
2017-01-19T01:17:00-05:00,2017-01-19T06:28:00-05:00,311
2017-01-20T00:43:00-05:00,2017-01-20T07:50:00-05:00,427
2017-01-20T23:45:00-05:00,2017-01-21T01:07:00-05:00,82
2017-01-21T01:08:00-05:00,2017-01-21T07:14:00-05:00,366
2017-01-21T23:00:00-05:00,2017-01-22T00:14:00-05:00,74
2017-01-22T00:48:00-05:00,2017-01-22T07:13:00-05:00,385
2017-01-22T22:03:00-05:00,2017-01-23T04:58:00-05:00,415
2017-01-23T06:01:00-05:00,2017-01-23T06:59:00-05:00,58
2017-01-23T13:52:00-05:00,2017-01-23T14:50:00-05:00,58
2017-01-23T22:17:00-05:00,2017-01-23T23:02:00-05:00,45
2017-01-23T23:16:00-05:00,2017-01-24T06:02:00-05:00,406
2017-01-24T06:11:00-05:00,2017-01-24T06:57:00-05:00,46
2017-01-25T00:45:00-05:00,2017-01-25T06:01:00-05:00,316
2017-01-25T06:33:00-05:00,2017-01-25T07:34:00-05:00,61
2017-01-25T22:58:00-05:00,2017-01-26T03:16:00-05:00,258
2017-01-26T03:45:00-05:00,2017-01-26T07:29:00-05:00,224
2017-01-26T09:45:00-05:00,2017-01-26T12:00:00-05:00,135
2017-01-26T22:18:00-05:00,2017-01-26T23:40:00-05:00,82
2017-01-26T23:48:00-05:00,2017-01-27T05:11:00-05:00,323
2017-01-27T23:06:00-05:00,2017-01-28T00:16:00-05:00,70
2017-01-28T00:24:00-05:00,2017-01-28T06:04:00-05:00,340
2017-01-28T12:45:00-05:00,2017-01-28T14:44:00-05:00,119
2017-01-29T00:58:00-05:00,2017-01-29T06:24:00-05:00,326
2017-01-29T06:25:00-05:00,2017-01-29T08:21:00-05:00,116
2017-01-29T23:18:00-05:00,2017-01-30T05:38:00-05:00,380
2017-01-30T22:19:00-05:00,2017-01-31T01:58:00-05:00,219
2017-01-31T22:00:00-05:00,2017-02-01T00:11:00-05:00,131
2017-02-01T01:48:00-05:00,2017-02-01T02:22:00-05:00,34
2017-02-01T02:38:00-05:00,2017-02-01T03:13:00-05:00,35
2017-02-01T23:46:00-05:00,2017-02-02T00:00:00-05:00,14
2017-02-02T00:49:00-05:00,2017-02-02T01:30:00-05:00,41
2017-02-02T01:47:00-05:00,2017-02-02T02:30:00-05:00,43
2017-02-02T02:47:00-05:00,2017-02-02T03:00:00-05:00,13
2017-02-02T04:31:00-05:00,2017-02-02T04:45:00-05:00,14
2017-02-02T06:35:00-05:00,2017-02-02T06:45:00-05:00,10
2017-02-02T20:54:00-05:00,2017-02-02T21:06:00-05:00,12
2017-02-02T22:01:00-05:00,2017-02-03T01:11:00-05:00,190
2017-02-03T01:34:00-05:00,2017-02-03T01:58:00-05:00,24
2017-02-03T02:11:00-05:00,2017-02-03T07:59:00-05:00,348
2017-02-04T00:21:00-05:00,2017-02-04T06:00:00-05:00,339
2017-02-04T06:02:00-05:00,2017-02-04T07:59:00-05:00,117
2017-02-04T23:45:00-05:00,2017-02-05T07:51:00-05:00,486
2017-02-05T13:04:00-05:00,2017-02-05T13:41:00-05:00,37
2017-02-05T14:04:00-05:00,2017-02-05T14:29:00-05:00,25
2017-02-05T22:58:00-05:00,2017-02-05T23:14:00-05:00,16
2017-02-06T00:03:00-05:00,2017-02-06T00:26:00-05:00,23
2017-02-06T00:27:00-05:00,2017-02-06T00:43:00-05:00,16
2017-02-06T01:55:00-05:00,2017-02-06T02:40:00-05:00,45
2017-02-06T03:12:00-05:00,2017-02-06T03:30:00-05:00,18
2017-02-06T04:13:00-05:00,2017-02-06T04:40:00-05:00,27
2017-02-06T23:17:00-05:00,2017-02-07T05:30:00-05:00,373
2017-02-07T05:45:00-05:00,2017-02-07T07:30:00-05:00,105
2017-02-07T22:01:00-05:00,2017-02-08T06:30:00-05:00,509
2017-02-09T22:09:00-05:00,2017-02-10T04:14:00-05:00,365
2017-02-10T04:32:00-05:00,2017-02-10T05:20:00-05:00,48
2017-02-10T07:02:00-05:00,2017-02-10T07:15:00-05:00,13
2017-02-10T07:20:00-05:00,2017-02-10T08:01:00-05:00,41
2017-02-10T10:15:00-05:00,2017-02-10T10:33:00-05:00,18
2017-02-10T22:48:00-05:00,2017-02-11T01:45:00-05:00,177
2017-02-11T02:01:00-05:00,2017-02-11T07:30:00-05:00,329
2017-02-11T09:35:00-05:00,2017-02-11T09:42:00-05:00,7
2017-02-11T10:22:00-05:00,2017-02-11T10:30:00-05:00,8
2017-02-12T00:12:00-05:00,2017-02-12T06:29:00-05:00,377
2017-02-12T06:53:00-05:00,2017-02-12T07:16:00-05:00,23
2017-02-12T07:32:00-05:00,2017-02-12T08:30:00-05:00,58
2017-02-13T01:00:00-05:00,2017-02-13T03:37:00-05:00,157
